iter	RMSE
0	12.20738179
1	12.20737721
2	12.20737311
3	12.20737115
4	12.20736585
5	12.20736436
6	12.20736357
7	12.2073626
8	12.20735955
9	12.20735097
10	12.20734494
11	12.20734456
12	12.20733956
13	12.20733703
14	12.20733357
15	12.20732877
16	12.20732711
17	12.20731933
18	12.20731512
19	12.20731169
20	12.20731137
21	12.20730575
22	12.20730082
23	12.20729669
24	12.20729025
25	12.20728924
26	12.20728445
27	12.20728145
28	12.20727618
29	12.20727023
30	12.2072667
31	12.20726344
32	12.20725884
33	12.20724845
34	12.20724599
35	12.20724159
36	12.20723678
37	12.20723088
38	12.20722659
39	12.20722325
40	12.20721774
41	12.2072149
42	12.20721209
43	12.20720951
44	12.20720502
45	12.20720019
46	12.20719394
47	12.20718688
48	12.20718265
49	12.20717745
50	12.20717568
51	12.20716823
52	12.20716238
53	12.20716066
54	12.20715706
55	12.20715355
56	12.20714908
57	12.2071466
58	12.20713968
59	12.20713594
60	12.20713148
61	12.20712588
62	12.20712255
63	12.20712017
64	12.20711766
65	12.20711116
66	12.20710827
67	12.20710278
68	12.20710062
69	12.20709742
70	12.20709006
71	12.20708468
72	12.2070776
73	12.20707397
74	12.20707091
75	12.20706862
76	12.20706658
77	12.20706286
78	12.20706134
79	12.20705838
80	12.20705638
81	12.20705138
82	12.20704633
83	12.20704622
84	12.20704305
85	12.20704128
86	12.20703685
87	12.20703312
88	12.20703115
89	12.20702578
90	12.20701912
91	12.20701771
92	12.20701612
93	12.20701447
94	12.20701
95	12.20700755
96	12.20700269
97	12.20700008
98	12.20699509
99	12.20699317
100	12.20698852
101	12.20697998
102	12.20697555
103	12.2069748
104	12.20696634
105	12.20696305
106	12.20695963
107	12.2069564
108	12.20695221
109	12.20694788
110	12.20693929
111	12.20693624
112	12.20693272
113	12.20693197
114	12.20692561
115	12.20692346
116	12.20691928
117	12.20691421
118	12.20691154
119	12.20690818
120	12.20690384
121	12.20690165
122	12.20689882
123	12.20689347
124	12.20688226
125	12.20687689
126	12.20687489
127	12.20686929
128	12.20686624
129	12.2068636
130	12.2068605
131	12.20685518
132	12.20685172
133	12.20684806
134	12.2068413
135	12.2068329
136	12.20682803
137	12.2068167
138	12.20681508
