iter	Passed	Remaining
0	1308	476160
1	2325	422058
2	3554	428941
3	4880	440480
4	6108	439822
5	6963	416664
6	8816	450914
7	10043	448200
8	10994	434912
9	12337	437996
10	13579	437009
11	14761	434244
12	16054	434717
13	17174	430592
14	17777	414802
15	18664	407126
16	19703	403333
17	21032	405456
18	22170	403730
19	23190	400043
20	24351	398893
21	25421	396345
22	26788	398337
23	28508	405063
24	29801	405298
25	30917	403118
26	32123	402133
27	33317	400999
28	34544	400234
29	35802	399798
30	37056	399251
31	38534	401002
32	39754	399954
33	40955	398712
34	42091	396863
35	43417	396786
36	44911	398136
37	46492	400080
38	47473	396830
39	48641	395212
40	49846	393911
41	51039	392514
42	52483	393016
43	53234	388367
44	54463	387298
45	55120	382249
46	56197	380226
47	57385	378982
48	58846	379497
49	60027	378175
50	61181	376687
51	62481	376090
52	63705	375023
53	64924	373917
54	66031	372178
55	67204	370826
56	68156	368283
57	69489	367813
58	70520	365751
59	71732	364641
60	72971	363662
61	74115	362207
62	75389	361389
63	76571	360125
64	77813	359137
65	78887	357385
66	79937	355543
67	81181	354571
68	82518	353992
69	83776	353058
70	84729	350850
71	85710	348795
72	86947	347791
73	88339	347388
74	89541	346228
75	90654	344724
76	91808	343388
77	93257	343140
78	94491	342083
79	95261	339368
80	96313	337692
81	97357	336002
82	98160	333507
83	99056	331368
84	100291	330371
85	101195	328298
86	102285	326843
87	103387	325434
88	104445	323897
89	105535	322469
90	107041	322299
91	108217	321124
92	109536	320366
93	110580	318801
94	111769	317661
95	113132	317005
96	114143	315366
97	115026	313387
98	116253	312356
99	117550	311507
100	118893	310770
101	120800	311477
102	122140	310686
103	123470	309864
104	124697	308775
105	125429	306474
106	126617	305301
107	127980	304545
108	129336	303762
109	130447	302401
110	132394	302955
111	133861	302382
112	135379	301909
113	137199	302078
114	139008	302193
115	140317	301198
116	141730	300420
117	142944	299214
118	144457	298625
119	146040	298165
120	147190	296813
121	148328	295441
122	149536	294210
123	150820	293127
124	152236	292293
125	153403	290979
126	154659	289833
127	155844	288555
128	157071	287355
129	158229	286030
130	159238	284441
131	161001	284191
132	161698	282061
133	162859	280749
134	163544	278630
135	164138	276380
136	165231	274984
137	167284	275171
138	168481	273934
